Date,EWJ_Open,EWJ_High,EWJ_Low,EWJ_Close,EWJ_Volume,EWJ_ATRPercentOfClose20,EWJ_SQN25,EWJ_SQN50,EWJ_SQN100,EWJ_SQN200,EWJ_MACD,EWJ_MACD_Avg,EWJ_MACD_Diff,EWJ_LinReg10,EWJ_LinReg30,EWJ_LinReg90,EWJ_LinReg270
2/9/2017, 50.84, 51.12, 50.72, 51.02, 5790853, 0.695331679125528, 0.653531911533371, 0, 0, 0, 0.282031170361073, 0.299669634485973, -0.0176384641249001, 51.0723636363635, 51.1013492063492, 51.1013492063492, 51.1013492063492
2/10/2017, 51.3, 51.42, 51.26, 51.38, 4302909, 0.694862420310144, 0.698580083804222, 0, 0, 0, 0.301350158564233, 0.300005739301625, 0.0013444192626082, 51.2339999999999, 51.1700738916256, 51.1700738916256, 51.1700738916256
2/13/2017, 51.5, 51.7, 51.5, 51.58, 2734531, 0.688579480375309, 0.92328963169674, 0, 0, 0, 0.329006344095895, 0.305805860260479, 0.0232004838354157, 51.4067272727271, 51.2564827586207, 51.2564827586207, 51.2564827586207
2/14/2017, 51.09, 51.26, 50.89, 51.21, 8107935, 0.726246497126938, 0.555506956987854, 0, 0, 0, 0.317409266160915, 0.308126541440566, 0.00928272472034902, 51.3790909090907, 51.2856774193548, 51.2856774193548, 51.2856774193548
2/15/2017, 50.94, 51.2, 50.91, 51.16, 5581667, 0.719928243979222, 0.674104513649525, 0, 0, 0, 0.300717432836805, 0.306644719719814, -0.00592728688300875, 51.3532727272725, 51.2459139784946, 51.3049798387097, 51.3049798387097
2/16/2017, 51.08, 51.23, 50.99, 51.22, 7488469, 0.706559010423235, 0.472561986112088, 0, 0, 0, 0.288999131140294, 0.30311560200391, -0.0141164708636162, 51.3267272727271, 51.2675053763441, 51.3288636363636, 51.3288636363636
2/17/2017, 50.97, 51.2, 50.93, 51.19, 4522586, 0.69995028107412, 0.514790439414477, 0, 0, 0, 0.274131525752537, 0.297318786753635, -0.0231872610010982, 51.3139999999998, 51.2983655913978, 51.3463101604278, 51.3463101604278
2/21/2017, 51.49, 51.7, 51.49, 51.62, 4200197, 0.7088130984846, 0.586314969631269, 0, 0, 0, 0.293661105283476, 0.296587250459604, -0.00292614517612727, 51.4261818181816, 51.3742580645161, 51.4099495798319, 51.4099495798319
2/22/2017, 51.6, 51.69, 51.52, 51.68, 10714426, 0.689038032828681, 1.23946352559398, 0, 0, 0, 0.31040181739138, 0.299350163845959, 0.0110516535454211, 51.5176363636361, 51.4536129032258, 51.4735238095238, 51.4735238095238
2/23/2017, 51.72, 51.76, 51.53, 51.63, 4927525, 0.677493923295699, 1.20085064748313, 0, 0, 0, 0.315991813289116, 0.30267849373459, 0.013313319554526, 51.5814545454543, 51.5064086021506, 51.5253003003003, 51.5253003003003
2/24/2017, 51.37, 51.54, 51.37, 51.52, 5574146, 0.670226333400021, 1.23679691043373, 0, 0, 0, 0.307995464624504, 0.303741887912573, 0.00425357671193105, 51.563818181818, 51.5587956989247, 51.560426742532, 51.560426742532
2/27/2017, 51.26, 51.37, 51.21, 51.36, 3577364, 0.668877680333541, 0.81160058585601, 0, 0, 0, 0.285457066501245, 0.300084923630307, -0.0146278571290629, 51.5356363636361, 51.579935483871, 51.5757489878542, 51.5757489878542
2/28/2017, 51.33, 51.38, 51.16, 51.23, 5878512, 0.658518051509548, 0.657948171943653, 0, 0, 0, 0.254175335020037, 0.290903005908253, -0.0367276708882167, 51.5036363636361, 51.6008172043011, 51.5764487179487, 51.5764487179487
3/1/2017, 51.69, 51.97, 51.66, 51.83, 6661408, 0.689737329536802, 0.967001607162453, 0, 0, 0, 0.2746335187881, 0.287649108484223, -0.0130155896961225, 51.6239999999998, 51.6576344086021, 51.6344634146341, 51.6344634146341
3/2/2017, 51.54, 51.55, 51.29, 51.34, 5496725, 0.714094887035408, 0.141311149449059, 0, 0, 0, 0.248443964546112, 0.279808079696601, -0.0313641151504883, 51.5312727272725, 51.6418709677419, 51.641149825784, 51.641149825784
3/3/2017, 51.29, 51.39, 51.18, 51.37, 4988469, 0.698433909390266, 0.109000460556145, 0, 0, 0, 0.227486975159415, 0.269343858789164, -0.0418568836297483, 51.4510909090907, 51.613935483871, 51.6496456256921, 51.6496456256921
3/6/2017, 51.23, 51.29, 51.15, 51.25, 4109305, 0.686529218128957, 0.373094280301203, 0, 0, 0, 0.198902587746367, 0.255255604580604, -0.0563530168342369, 51.3152727272725, 51.5843655913979, 51.6463002114165, 51.6463002114165
3/7/2017, 51.21, 51.29, 51.13, 51.13, 4147553, 0.669379841729974, 0.392145013886509, 0, 0, 0, 0.164668066693459, 0.237138097003175, -0.0724700303097167, 51.220727272727, 51.5366666666667, 51.632303030303, 51.632303030303
3/8/2017, 51.07, 51.1, 50.93, 50.97, 3220119, 0.657526422253696, 0.356951308610093, 0, 0, 0, 0.123206056561479, 0.214351688914836, -0.0911456323533572, 51.1096363636361, 51.4733978494624, 51.6052657004831, 51.6052657004831
3/9/2017, 50.86, 51.01, 50.84, 50.97, 3791591, 0.641326577499653, 0.126020435819203, 0, 0, 0, 0.0893175180642132, 0.189344854744711, -0.100027336680498, 51.0272727272724, 51.4433978494624, 51.5799167437558, 51.5799167437558
3/10/2017, 51.29, 51.38, 51.23, 51.34, 5086324, 0.644799276828973, 0.448874438128518, 0, 0, 0, 0.0912644748761622, 0.169728778771002, -0.0784643038948394, 51.0867272727269, 51.4663655913979, 51.5866223404255, 51.5866223404255
3/13/2017, 51.58, 51.65, 51.53, 51.6, 4795801, 0.639511533503478, 0.469965708375305, 0, 0, 0, 0.112490558134802, 0.158281134643762, -0.0457905765089599, 51.2138181818178, 51.4937419354839, 51.6135799319728, 51.6135799319728
3/14/2017, 51.32, 51.34, 51.2, 51.24, 13286318, 0.650836365580416, 0.228487152841551, 0, 0, 0, 0.0991207879455942, 0.146449065304128, -0.047328277358534, 51.1774545454542, 51.4611397849463, 51.6098857142858, 51.6098857142858
3/15/2017, 51.34, 51.88, 51.33, 51.76, 9534506, 0.673906735002386, 0.621229078631688, 0, 0, 0, 0.128997796624184, 0.142958811568139, -0.0139610149439557, 51.4401818181814, 51.4829677419355, 51.6465647058824, 51.6465647058824
3/16/2017, 52.06, 52.09, 51.64, 51.66, 10675411, 0.685004683963169, 0.43543220784115, 1.20163949226702, 0, 0, 0.142958441068956, 0.142958737468303, -2.96399346844112E-07, 51.5741818181814, 51.5024301075269, 51.6729185520363, 51.6729185520363
3/17/2017, 51.8, 51.91, 51.74, 51.83, 5346861, 0.672737311882316, 0.611117357623696, 0.891413156508693, 0, 0, 0.165828365450828, 0.147532663064808, 0.0182957023860204, 51.7554545454541, 51.5368387096775, 51.7100000000001, 51.7100000000001
3/20/2017, 51.91, 51.99, 51.73, 51.85, 4450551, 0.663926251323384, 0.369558113748526, 0.74753410556536, 0, 0, 0.183452057026926, 0.154716541857231, 0.0287355151696948, 51.894545454545, 51.5826021505377, 51.7459119496856, 51.7459119496856
3/21/2017, 51.99, 52.01, 51.37, 51.44, 10785764, 0.697965538968927, -0.0893323539915427, 0.552550665627671, 0, 0, 0.162462618153192, 0.156265757116424, 0.0061968610367687, 51.8352727272723, 51.5658494623657, 51.7497643097644, 51.7497643097644
3/22/2017, 51.38, 51.55, 51.29, 51.51, 5885051, 0.687403998414551, 0.241643291393197, 0.562704917842455, 0, 0, 0.149750520823019, 0.154962709857743, -0.00521218903472334, 51.7512727272723, 51.5529462365592, 51.7580974025974, 51.7580974025974
3/23/2017, 51.44, 51.69, 51.39, 51.55, 5926007, 0.681625042879085, 0.310648836084734, 0.693509890828991, 0, 0, 0.141275224956672, 0.152225212877529, -0.0109499879208564, 51.6516363636359, 51.5514408602151, 51.7684774436091, 51.7684774436091
3/24/2017, 51.86, 52.04, 51.86, 51.87, 6053330, 0.690782386975052, 0.495722377378239, 0.684814104479914, 0, 0, 0.158552127341082, 0.153490595770239, 0.0050615315708426, 51.7049090909086, 51.5829032258065, 51.7998911070781, 51.7998911070781
3/27/2017, 51.65, 51.97, 51.61, 51.9, 5845997, 0.690546017182585, 0.540769874606193, 0.746547534770502, 0, 0, 0.172674462515864, 0.157327369119364, 0.0153470933965001, 51.7916363636359, 51.6366881720431, 51.831250730567, 51.831250730567
3/28/2017, 52.1, 52.38, 52.09, 52.34, 8114563, 0.696357878815196, 0.54326067035924, 0.797686274935929, 0, 0, 0.216870885088518, 0.169236072313195, 0.047634812775323, 51.9419999999995, 51.7562795698925, 51.8896610169492, 51.8896610169492
3/29/2017, 52.19, 52.28, 52.17, 52.27, 5097343, 0.678687637427358, 0.446613091904393, 1.13269996812998, 0, 0, 0.243442203228476, 0.184077298496251, 0.0593649047322245, 52.1121818181814, 51.8374193548388, 51.9399672131148, 51.9399672131148
3/30/2017, 51.97, 52.04, 51.94, 51.98, 4347069, 0.680093356443087, 0.265348241314903, 0.960039536383226, 0, 0, 0.238352014269992, 0.194932241650999, 0.0434197726189927, 52.1343636363632, 51.8715913978495, 51.9686726599683, 51.9686726599683
3/31/2017, 51.32, 51.52, 51.29, 51.5, 6983556, 0.719100777369244, 0.00043379280386718, 0.747745476043088, 0, 0, 0.193357113926233, 0.194617216106046, -0.00126010217981348, 52.0072727272723, 51.8435698924732, 51.9653456221198, 51.9653456221198
4/3/2017, 51.56, 51.79, 51.46, 51.76, 5719287, 0.711592069798884, 0.286034359520595, 0.71450811042107, 0, 0, 0.176641939993928, 0.191022160883623, -0.0143802208896945, 51.9919999999995, 51.8447311827958, 51.9781150793651, 51.9781150793651
4/4/2017, 51.48, 51.67, 51.38, 51.58, 12276850, 0.715207546648909, 0.251917858449577, 0.596707463057561, 0, 0, 0.147174018081223, 0.182252532323143, -0.0350785142419194, 51.8374545454541, 51.8480430107528, 51.9790096153846, 51.9790096153846
4/5/2017, 51.45, 51.56, 51.22, 51.22, 8765596, 0.719365189249183, -0.424642211027574, 0.324449088597328, 0, 0, 0.0936914693680677, 0.164540319732128, -0.07084885036406, 51.5649090909086, 51.8099354838711, 51.958013986014, 51.958013986014
4/6/2017, 50.84, 50.97, 50.81, 50.96, 4504219, 0.727111278329592, -0.27416797528685, -0.103899378297753, 0, 0, 0.0299807378193719, 0.137628403349577, -0.107647665530205, 51.2263636363631, 51.7384731182797, 51.9225237449118, 51.9225237449118
4/7/2017, 51.09, 51.2, 51, 51.07, 5140563, 0.712765052016687, -0.212513783922204, -0.0814812163530524, 0, 0, -0.0115018095514827, 0.107802360769365, -0.119304170320847, 51.0219999999994, 51.6779569892474, 51.8951053555751, 51.8951053555751
4/10/2017, 50.9, 51.01, 50.85, 50.95, 3210619, 0.700311396391905, -0.213032948982328, 0.0854583430309665, 0, 0, -0.0534439556733588, 0.07555309748082, -0.128997053154179, 50.8258181818176, 51.5944516129033, 51.8620076726343, 51.8620076726343
4/11/2017, 51.11, 51.22, 50.91, 51.21, 4957010, 0.692185556802562, 0.0724436295007078, 0.310535724220936, 0, 0, -0.0649548227982137, 0.0474515134250133, -0.112406336223227, 50.8592727272721, 51.5379139784947, 51.8451594202899, 51.8451594202899
4/12/2017, 50.97, 51.1, 50.88, 51.04, 4377514, 0.692094068292834, 0.0651694448168312, 0.282509741172457, 0, 0, -0.0867943360977605, 0.0206023435204585, -0.107396679618219, 50.8816363636357, 51.499935483871, 51.8194889336016, 51.8194889336016
4/13/2017, 50.73, 50.73, 50.58, 50.61, 3676739, 0.70852118520812, -0.24209223535917, -0.109859185583457, 0, 0, -0.137217950949562, -0.0109617153735457, -0.126256235576017, 50.7645454545448, 51.3798279569893, 51.7712089201878, 51.7712089201878
4/17/2017, 51.07, 51.2, 51.04, 51.15, 5103353, 0.723662645634679, -0.11435163742059, 0.193064978986874, 0, 0, -0.132082971691588, -0.0351859666371542, -0.096897005054434, 50.8127272727266, 51.3349462365592, 51.754497716895, 51.754497716895
4/18/2017, 50.96, 50.99, 50.85, 50.99, 5455745, 0.719054267660386, -0.403909316689392, -0.0133648761987802, 0, 0, -0.139318153507226, -0.0560124040111685, -0.0833057494960574, 50.8767272727266, 51.263182795699, 51.7298704183636, 51.7298704183636
4/19/2017, 51.11, 51.14, 50.9, 50.96, 4284519, 0.7070515748156, -0.184342804633712, 0.0131299857733888, 0, 0, -0.145792234376948, -0.0739683700843245, -0.0718238642926238, 50.936363636363, 51.1812903225807, 51.7046918918919, 51.7046918918919
4/20/2017, 51.19, 51.32, 51.18, 51.27, 11182137, 0.702745871659309, -0.347241984581016, 0.191323876738458, 0, 0, -0.124473725264885, -0.0840694411204365, -0.0404042841444482, 51.0649090909084, 51.1291612903226, 51.6967754385965, 51.6967754385965
4/21/2017, 51.45, 51.51, 51.41, 51.46, 6415536, 0.688462724406804, -0.132350129080696, 0.211309820179002, 0, 0, -0.0911959904874493, -0.0854947509938391, -0.00570123949361025, 51.2043636363629, 51.0992043010753, 51.6989268626111, 51.6989268626111
4/24/2017, 51.82, 51.85, 51.72, 51.82, 5117447, 0.687126152220676, 0.00661138843026907, 0.428068090255887, 0, 0, -0.0353664718955855, -0.0754690951741884, 0.0401026232786029, 51.4629090909083, 51.1364301075269, 51.7192307692308, 51.7192307692308
4/25/2017, 52.05, 52.15, 51.99, 52.01, 3638518, 0.682109850945427, 0.125521024874859, 0.343062293712244, 0, 0, 0.0239343357976907, -0.0555884089798126, 0.0795227447775032, 51.722181818181, 51.2120000000001, 51.7481045115222, 51.7481045115222
4/26/2017, 52.09, 52.22, 52.06, 52.07, 7508925, 0.667422828505629, 0.475526441897782, 0.271399221802752, 0, 0, 0.0749086513887534, -0.0294889969060994, 0.104397648294853, 51.9963636363628, 51.2685376344086, 51.7786075949367, 51.7786075949367
4/27/2017, 52.13, 52.17, 52.02, 52.11, 7082180, 0.647957615549293, 0.453245650832403, 0.493489840667135, 0, 0, 0.117183016579595, -0.000154594208960444, 0.117337610788556, 52.2034545454537, 51.3594623655914, 51.8096666666667, 51.8096666666667
4/28/2017, 51.91, 51.93, 51.84, 51.86, 6285128, 0.644558769359043, 0.236983743827031, 0.385784731275152, 0, 0, 0.129025519033057, 0.025681428439443, 0.103344090593614, 52.1798181818173, 51.4097419354839, 51.8271906052394, 51.8271906052394
5/1/2017, 52.05, 52.11, 51.99, 52.06, 3742242, 0.633989183442412, 0.151734616886267, 0.456344902877898, 0, 0, 0.152787872590238, 0.0511027172696021, 0.101685155320636, 52.26509090909, 51.4954408602151, 51.8534645900676, 51.8534645900676
5/2/2017, 52.32, 52.34, 52.2, 52.22, 4027511, 0.627253984019751, 0.244854063760376, 0.55353263209219, 0, 0, 0.182427461586997, 0.077367666133081, 0.105059795453916, 52.3239999999991, 51.6012903225807, 51.8861273666093, 51.8861273666093
5/3/2017, 52.15, 52.44, 52.08, 52.35, 4769017, 0.628795470739939, 0.0202039047319443, 0.403706829585684, 0, 0, 0.213940786737311, 0.104682290253927, 0.109258496483384, 52.3547272727263, 51.6939139784947, 51.9234369747899, 51.9234369747899
5/4/2017, 52.28, 52.5, 52.23, 52.48, 6380711, 0.621600052373743, 0.17066796144556, 0.439302665186094, 0, 0, 0.246563012576026, 0.133058434718347, 0.113504577857679, 52.4165454545445, 51.8018279569893, 51.9651491108071, 51.9651491108071
5/5/2017, 52.54, 52.79, 52.5, 52.77, 5867523, 0.61664756890554, 0.611222360712139, 0.611644717567558, 0, 0, 0.29244580475649, 0.164935908725975, 0.127509896030514, 52.5505454545444, 51.9429462365592, 52.0183480352846, 52.0183480352846
5/8/2017, 52.88, 52.91, 52.76, 52.79, 12056467, 0.599800484951469, 1.08204979106893, 0.681504251975777, 0, 0, 0.326656587179855, 0.197280044416751, 0.129376542763104, 52.691999999999, 52.1000645161291, 52.0702429467085, 52.0702429467085
5/9/2017, 52.64, 52.68, 52.54, 52.62, 7210547, 0.595406579638135, 0.725319102328719, 0.67816984924015, 0, 0, 0.336176070990987, 0.225059249731598, 0.111116821259389, 52.7598181818171, 52.2316774193549, 52.1124055158325, 52.1124055158325
5/10/2017, 52.47, 52.48, 52.38, 52.38, 5114185, 0.591137447680998, 0.672063590905326, 0.619187718624437, 0, 0, 0.32065799054682, 0.244178997894643, 0.0764789926521774, 52.7234545454535, 52.3575268817206, 52.1422247191011, 52.1422247191011
5/11/2017, 52.32, 52.35, 52.22, 52.24, 6924483, 0.57839951252018, 0.897085153403391, 0.24094173950113, 0, 0, 0.293677637030193, 0.254078725721753, 0.0395989113084399, 52.6298181818171, 52.4606881720431, 52.1646788766789, 52.1646788766789
5/12/2017, 52.36, 52.45, 52.33, 52.37, 4669248, 0.568165190134647, 1.28149659717386, 0.601535482344341, 0, 0, 0.279562800092322, 0.259175540595867, 0.0203872594964549, 52.5239999999989, 52.5612043010754, 52.1650549450549, 52.191801242236
5/15/2017, 52.52, 52.6, 52.49, 52.52, 4032086, 0.560111775647066, 1.31154081346922, 0.666915713964568, 0, 0, 0.277284078273851, 0.262797248131464, 0.0144868301423877, 52.4821818181807, 52.6462365591399, 52.1917094017094, 52.224221598878
5/16/2017, 52.64, 52.67, 52.44, 52.56, 3930351, 0.553580991897541, 1.47581471734966, 0.760408604229068, 0, 0, 0.275529705586749, 0.265343739622521, 0.0101859659642281, 52.4610909090898, 52.7470967741937, 52.2248937728938, 52.2570304278197
5/17/2017, 52.6, 52.67, 52.43, 52.48, 7070036, 0.549569475751296, 1.17558548321363, 0.785910630014803, 0, 0, 0.26463349102464, 0.265201689902944, -0.000568198878304893, 52.4198181818171, 52.8206451612904, 52.2513235653236, 52.285182530795
5/18/2017, 52.42, 52.67, 52.33, 52.62, 5130370, 0.553009041867287, 1.48940204477845, 0.960906375513789, 0, 0, 0.264248895672274, 0.26501113105681, -0.000762235384536014, 52.4458181818171, 52.8821505376345, 52.2835042735043, 52.3180131578947
5/19/2017, 52.87, 53.08, 52.83, 53.05, 6983610, 0.564455588952004, 2.461893020248, 1.17503306447078, 0, 0, 0.295238185402795, 0.271056541926007, 0.0241816434767875, 52.6707272727262, 52.9718494623657, 52.328713064713, 52.3672014604811
5/22/2017, 53, 53.07, 52.96, 53.02, 2777886, 0.546909666997522, 2.10664260114702, 0.965298986683657, 0, 0, 0.31375984333522, 0.27959720220785, 0.0341626411273698, 52.8739999999989, 53.0515913978496, 52.3779438339438, 52.4133179044814
5/23/2017, 53.14, 53.18, 53.07, 53.09, 3325880, 0.533947881277042, 2.45896689830075, 0.862299833007712, 0, 0, 0.33027954862888, 0.289733671492056, 0.0405458771368243, 53.054909090908, 53.1196344086023, 52.4267203907203, 52.4605194805195
5/24/2017, 52.9, 53.01, 52.83, 53.01, 2855214, 0.5325396786672, 2.38198365935825, 1.04969411099104, 0, 0, 0.333076701794802, 0.298402277552605, 0.0346744242421969, 53.1345454545443, 53.181053763441, 52.4772649572649, 52.5027858585858
5/25/2017, 53.09, 53.19, 53.05, 53.15, 2368260, 0.521513300994184, 2.25640740250043, 0.856451583356343, 0, 0, 0.342640548841665, 0.307249931810417, 0.0353906170312478, 53.2001818181807, 53.2372903225807, 52.5197094017093, 52.549003960396
5/26/2017, 53.03, 53.18, 52.98, 53.18, 2552964, 0.51396221042589, 2.07960966463925, 0.938574195502571, 1.52370634074285, 0, 0.348622018193588, 0.315524349087051, 0.0330976691065366, 53.2525454545443, 53.255053763441, 52.5611697191697, 52.5947058823529
5/30/2017, 53.24, 53.37, 53.2, 53.29, 3478795, 0.505083220734216, 1.8961949043096, 0.902035318275195, 1.26529256811489, 0, 0.35811038286311, 0.324041555842263, 0.034068827020847, 53.3287272727261, 53.3061935483872, 52.6022246642246, 52.6430039977156
5/31/2017, 53.39, 53.39, 53.23, 53.29, 2829089, 0.494841257107902, 1.67073769239386, 0.889597776366686, 1.15021953670861, 0, 0.361463256802331, 0.331525896034277, 0.0299373607680544, 53.370909090908, 53.3328602150539, 52.6481050061049, 52.6895743091859
6/1/2017, 53.7, 53.78, 53.62, 53.77, 6246210, 0.511467101761505, 1.94397087964132, 1.43344154597158, 1.35528502298421, 0, 0.398261511235596, 0.34487301907454, 0.0533884921610553, 53.5230909090898, 53.4035913978496, 52.7135824175823, 52.7526868131868
6/2/2017, 54.61, 54.9, 54.55, 54.9, 6194511, 0.578807044783794, 2.06336944671628, 1.73907896364413, 1.63363826910866, 0, 0.512695909880058, 0.378437597235644, 0.134258312644414, 54.0232727272716, 53.6202365591399, 52.8289621489621, 52.8560503144654
6/5/2017, 54.68, 54.76, 54.65, 54.69, 3887156, 0.574834182130166, 2.12214098147963, 1.60016932284614, 1.6322348405507, 0, 0.579757664830787, 0.418701610754673, 0.161056054076114, 54.4125454545443, 53.7994838709679, 52.9438266178266, 52.9481149709046
6/6/2017, 54.72, 54.81, 54.68, 54.73, 3551298, 0.557569840118104, 2.00031740872077, 1.46720405538317, 1.52928542109836, 0, 0.628882884067622, 0.460737865417262, 0.168145018650359, 54.7201818181807, 53.9869677419356, 53.0594236874236, 53.0385617860851
6/7/2017, 54.82, 54.84, 54.68, 54.71, 2958678, 0.544507539429367, 1.85782245495566, 1.44078033885323, 1.5540932242256, 0, 0.658609105588582, 0.500312113451526, 0.158296992137055, 54.9416363636352, 54.165806451613, 53.1622637362637, 53.1252616377846
6/8/2017, 54.61, 54.63, 54.5, 54.58, 9928587, 0.537752054013771, 1.64379538482478, 1.16756987438685, 1.39066938170106, 0, 0.664022993041321, 0.533054289369485, 0.130968703671836, 55.013818181817, 54.3147311827958, 53.2534676434676, 53.2043819849875
6/9/2017, 54.15, 54.34, 53.92, 54.09, 8924614, 0.57650178873485, 1.10836072680825, 0.927036514271864, 1.44728649673409, 0, 0.621609110070779, 0.550765253509744, 0.0708438565610345, 54.8590909090897, 54.3879569892475, 53.3177362637362, 53.263312039312
