Date,EWW_Open,EWW_High,EWW_Low,EWW_Close,EWW_Volume,EWW_ATRPercentOfClose20,EWW_SQN25,EWW_SQN50,EWW_SQN100,EWW_SQN200,EWW_MACD,EWW_MACD_Avg,EWW_MACD_Diff,EWW_LinReg10,EWW_LinReg30,EWW_LinReg90,EWW_LinReg270
1/31/2017, 45.06, 45.43, 44.67, 44.81, 3443243, 0, 0, 0, 0, 0, 0.428169689535245, 0.129836830555651, 0.298332858979594, 45.6949090909092, 44.506, 44.506, 44.506
2/1/2017, 45.1, 45.29, 44.6, 44.91, 3774485, 0, 0, 0, 0, 0, 0.461841037086245, 0.19623767186177, 0.265603365224475, 45.6305454545455, 44.6819480519481, 44.6819480519481, 44.6819480519481
2/2/2017, 45.19, 45.69, 45.12, 45.63, 4581476, 1.93737672583827, 0, 0, 0, 0, 0.540394474203566, 0.265069032330129, 0.275325441873437, 45.6085454545455, 44.9512648221344, 44.9512648221344, 44.9512648221344
2/3/2017, 46, 46.14, 45.61, 46.02, 2679391, 1.88249402433725, 0, 0, 0, 0, 0.626891959418522, 0.337433617747808, 0.289458341670714, 45.689090909091, 45.2427173913044, 45.2427173913044, 45.2427173913044
2/6/2017, 45.74, 45.89, 45.12, 45.38, 2297492, 1.91275355332746, 0, 0, 0, 0, 0.636462445448259, 0.397239383287898, 0.239223062160361, 45.6021818181819, 45.3908333333334, 45.3908333333334, 45.3908333333334
2/7/2017, 45.37, 45.59, 44.86, 45.05, 2129190, 1.91144769006659, 0, 0, 0, 0, 0.610382769882406, 0.4398680606068, 0.170514709275606, 45.4427272727274, 45.4668307692308, 45.4668307692308, 45.4668307692308
2/8/2017, 45.1, 45.61, 45.06, 45.47, 1918231, 1.8606813836733, 0.652702855104875, 0, 0, 0, 0.616498320138419, 0.475194112513124, 0.141304207625295, 45.5961818181819, 45.5916239316239, 45.5916239316239, 45.5916239316239
2/9/2017, 45.71, 46.27, 45.63, 45.9, 2642166, 1.83823362505106, 0.993514124451427, 0, 0, 0, 0.648566078086709, 0.509868505627841, 0.138697572458868, 45.6876363636365, 45.7588888888889, 45.7588888888889, 45.7588888888889
2/10/2017, 45.99, 47.02, 45.9, 46.62, 5632200, 1.83947184084838, 1.09783700858988, 0, 0, 0, 0.723735220888514, 0.552641848679976, 0.171093372208539, 46.0845454545456, 46.0013793103449, 46.0013793103449, 46.0013793103449
2/13/2017, 46.72, 46.82, 46.18, 46.49, 4368161, 1.82121678553096, 1.17225836931768, 0, 0, 0, 0.76401035874305, 0.594915550692591, 0.16909480805046, 46.3496363636365, 46.1964827586207, 46.1964827586207, 46.1964827586207
2/14/2017, 46.54, 46.67, 45.93, 46.36, 2620120, 1.81481772953769, 1.47673675216623, 0, 0, 0, 0.776487912802949, 0.631230023114662, 0.145257889688287, 46.4389090909093, 46.3509677419355, 46.3509677419355, 46.3509677419355
2/15/2017, 46.04, 46.34, 45.97, 46.19, 2896862, 1.77263915229052, 1.58287468117962, 0, 0, 0, 0.763853655581471, 0.657754749608024, 0.106098905973447, 46.4049090909093, 46.5792043010753, 46.465564516129, 46.465564516129
2/16/2017, 46.13, 46.4, 45.86, 45.97, 2308889, 1.75080035505948, 1.55078190835016, 0, 0, 0, 0.727700278492485, 0.671743855384916, 0.0559564231075684, 46.3690909090911, 46.7276774193548, 46.5397159090909, 46.5397159090909
2/17/2017, 45.71, 45.87, 45.46, 45.72, 2962511, 1.7281294336391, 1.37216324477962, 0, 0, 0, 0.671139082442799, 0.671622900796493, -0.000483818353693488, 46.3063636363638, 46.8479139784946, 46.5752941176471, 46.5752941176471
2/21/2017, 45.74, 47.28, 45.74, 47.11, 4580604, 1.75885319084443, 1.5123570742037, 0, 0, 0, 0.730059637304805, 0.683310248098155, 0.0467493892066498, 46.612181818182, 47.1090752688172, 46.7619495798319, 46.7619495798319
2/22/2017, 47.15, 47.36, 46.75, 46.99, 3180187, 1.74008502084799, 1.54981230158463, 0, 0, 0, 0.758330047668998, 0.698314208012324, 0.0600158396566745, 46.716181818182, 47.2772688172043, 46.9155714285714, 46.9155714285714
2/23/2017, 47.56, 47.87, 47, 47.31, 3517033, 1.73490309391597, 1.87130846267889, 0, 0, 0, 0.79736435724017, 0.718124237857893, 0.0792401193822766, 46.9089090909093, 47.4307311827957, 47.0870420420421, 47.0870420420421
2/24/2017, 46.99, 47, 46.41, 46.68, 3128072, 1.76680274431247, 1.70749060971289, 0, 0, 0, 0.768603609955584, 0.728220112277431, 0.0403834976781522, 46.8696363636366, 47.4610752688172, 47.1756045519203, 47.1756045519203
2/27/2017, 46.91, 47.18, 46.73, 46.87, 3041031, 1.7249975357218, 1.49733090500756, 0, 0, 0, 0.752467940602067, 0.733069677942358, 0.0193982626597082, 46.9974545454548, 47.4975698924732, 47.2737651821862, 47.2737651821862
2/28/2017, 46.9, 47.03, 45.95, 46.08, 3868049, 1.7840300081232, 0.828135458177566, 0, 0, 0, 0.668230958167236, 0.720101933987334, -0.0518709758200983, 46.8127272727275, 47.443935483871, 47.2837307692308, 47.2837307692308
3/1/2017, 46.54, 47.51, 46.4, 47.28, 5898091, 1.80303929009308, 0.964058255875263, 0, 0, 0, 0.690344650468532, 0.714150477283574, -0.0238058268150416, 47.0389090909094, 47.5070967741936, 47.4068780487805, 47.4068780487805
3/2/2017, 47, 47.11, 46.54, 46.67, 2182588, 1.81455566217744, 0.439441581467121, 0, 0, 0, 0.651142048704941, 0.701548791567847, -0.0504067428629065, 46.9701818181821, 47.4296989247312, 47.460905923345, 47.460905923345
3/3/2017, 47.58, 48.17, 47.34, 47.96, 5095907, 1.83384168298853, 1.22392850783349, 0, 0, 0, 0.715913320272442, 0.704421697308766, 0.0114916229636758, 47.2769090909094, 47.4703225806452, 47.6276633444075, 47.6276633444075
3/6/2017, 48.07, 48.39, 47.64, 48.33, 2447318, 1.80640378150887, 1.1211307539548, 0, 0, 0, 0.788017156169801, 0.721140789080973, 0.0668763670888275, 47.5529090909094, 47.5777634408603, 47.8130338266385, 47.8130338266385
3/7/2017, 48.53, 48.65, 48.04, 48.21, 2256931, 1.78361999631419, 1.0867079249924, 0, 0, 0, 0.825955863426479, 0.742103803950074, 0.0838520594764048, 47.9230909090912, 47.7126021505377, 47.9720909090909, 47.9720909090909
3/8/2017, 47.83, 48.26, 47.6, 47.66, 1968071, 1.78323340371783, 0.986791576912921, 0, 0, 0, 0.802392675511612, 0.754161578262382, 0.0482310972492302, 48.0192727272731, 47.7913978494624, 48.0704057971014, 48.0704057971014
3/9/2017, 47.19, 47.24, 46.74, 47.03, 3215038, 1.81457492707064, 0.727367675500123, 0, 0, 0, 0.724531002068211, 0.748235463023548, -0.0237044609553366, 47.9252727272731, 47.8362795698925, 48.1070305272895, 48.1070305272895
3/10/2017, 47.67, 47.89, 47.43, 47.55, 2639798, 1.79542557053892, 0.661312621288411, 0, 0, 0, 0.696752984389555, 0.737938967296749, -0.0411859829071944, 47.9001818181822, 47.8670107526882, 48.1825531914893, 48.1825531914893
3/13/2017, 47.6, 47.78, 47.31, 47.46, 2875611, 1.75840416319362, 0.504396221534728, 0, 0, 0, 0.659869888095571, 0.722325151456514, -0.0624552633609428, 47.8345454545458, 47.9120645161291, 48.2441666666667, 48.2441666666667
3/14/2017, 47.28, 47.34, 46.75, 47.23, 2730230, 1.75378294528713, 0.658497089654553, 0, 0, 0, 0.605105412217434, 0.698881203608698, -0.0937757913912641, 47.4992727272731, 47.911376344086, 48.2820489795918, 48.2820489795918
3/15/2017, 47.44, 48.85, 47.18, 48.76, 7509195, 1.7850617325803, 1.17037367724754, 0, 0, 0, 0.67735426545002, 0.694575815976962, -0.0172215505269417, 47.8698181818186, 48.0729462365592, 48.4349647058823, 48.4349647058823
3/16/2017, 49.36, 49.83, 49.07, 49.33, 4190146, 1.78466713108828, 1.20010336201851, 1.3167506863614, 0, 0, 0.771710440883531, 0.710002740958276, 0.0617076999252552, 48.2345454545459, 48.2880215053764, 48.6198944193061, 48.6198944193061
3/17/2017, 49.59, 50.26, 49.44, 50.07, 5376803, 1.76324641697135, 1.26679495933684, 1.60338572631169, 0, 0, 0.895873137409687, 0.747176820248558, 0.148696317161129, 48.9678181818186, 48.6164731182796, 48.8468287373004, 48.8468287373004
3/20/2017, 50.23, 50.79, 50.07, 50.41, 2533003, 1.73520056918999, 1.15724125928791, 1.59502557347587, 0, 0, 1.01006472998819, 0.799754402196486, 0.210310327791709, 49.777454545455, 48.9854193548387, 49.0829140461216, 49.0829140461216
3/21/2017, 50.68, 51.21, 50.07, 50.14, 5215584, 1.77099895608744, 1.11615308144372, 1.61638762137826, 0, 0, 1.06648190673786, 0.853099903104761, 0.213382003633102, 50.3563636363641, 49.2491182795699, 49.2834276094276, 49.2834276094276
3/22/2017, 49.96, 50.44, 49.85, 50.21, 3479278, 1.73885666750275, 1.18000436546735, 1.86494781972378, 0, 0, 1.10411380411453, 0.903302683306714, 0.200811120807812, 50.7441818181822, 49.4689892473118, 49.4752597402597, 49.4752597402597
3/23/2017, 50.04, 51, 50.04, 50.75, 2964482, 1.72891810072015, 1.38689626344323, 2.08818909473493, 0, 0, 1.16409191397813, 0.955460529440997, 0.208631384537129, 51.053454545455, 49.7520860215054, 49.6917669172932, 49.6917669172932
3/24/2017, 50.95, 51.74, 50.92, 51.56, 2845111, 1.71267385436327, 1.67465180465769, 2.28074206965364, 0, 0, 1.2624326904926, 1.01685496165132, 0.245577728841279, 51.5436363636368, 50.132559139785, 49.9494857834241, 49.9494857834241
3/27/2017, 50.89, 51.59, 50.79, 51.5, 2214367, 1.70660564532857, 1.74791840841123, 2.2137630560578, 0, 0, 1.32030728530601, 1.07754542638226, 0.242761858923759, 51.776363636364, 50.5169032258064, 50.1867913500877, 50.1867913500877
3/28/2017, 51.65, 51.9, 51.21, 51.26, 2290311, 1.69617013651386, 1.33102494925522, 2.01194395563577, 0, 0, 1.33145909280591, 1.12832815966699, 0.203130933138927, 51.6598181818186, 50.8306451612903, 50.3932881355932, 50.3932881355932
3/29/2017, 51.47, 52.01, 51.18, 51.8, 2981057, 1.67467948142501, 1.5306696458144, 2.17814369715017, 0, 0, 1.36809986400606, 1.1762825005348, 0.191817363471254, 51.8160000000004, 51.1734623655914, 50.6219453551912, 50.6219453551912
3/30/2017, 51.95, 52.06, 51.47, 51.63, 3555083, 1.65332127214652, 1.36924636474159, 2.2880582154267, 0, 0, 1.36765488572689, 1.21455697757322, 0.153097908153673, 51.8616363636367, 51.4482795698925, 50.8257165520888, 50.8257165520888
3/31/2017, 51.48, 51.55, 51, 51.17, 2502035, 1.64633434467224, 1.45888691026353, 2.24082149164361, 0, 0, 1.31502528866228, 1.23465063979103, 0.0803746488712513, 51.7709090909095, 51.6149677419355, 50.9880952380952, 50.9880952380952
4/3/2017, 51.24, 51.77, 51.24, 51.64, 2768014, 1.60787726560872, 1.53300943428061, 2.14276418972984, 0, 0, 1.29629810818531, 1.24698013346989, 0.0493179747154233, 51.8505454545458, 51.7910752688172, 51.1696378968254, 51.1696378968254
4/4/2017, 51.11, 51.71, 51.09, 51.67, 2065232, 1.58659266298109, 1.90397228247804, 1.91137706856225, 0, 0, 1.26924635016847, 1.25143337680961, 0.0178129733588677, 51.8194545454549, 52.0254623655913, 51.3421538461538, 51.3421538461538
4/5/2017, 52.05, 52.25, 51.62, 51.67, 3047677, 1.56822683861856, 1.57932063091649, 1.76143017759866, 0, 0, 1.23358760699097, 1.24786422284588, -0.0142766158549057, 51.7189090909094, 52.2224301075268, 51.5044475524475, 51.5044475524475
4/6/2017, 51.6, 51.67, 51.31, 51.47, 2165720, 1.53057638845638, 1.79800641675627, 1.49420783436653, 0, 0, 1.17563745086056, 1.23341886844881, -0.0577814175882581, 51.5776363636367, 52.3851612903225, 51.6453505201266, 51.6453505201266
4/7/2017, 51.75, 52.26, 51.64, 52.07, 3361474, 1.513152071791, 1.65338939512069, 1.98280883163354, 0, 0, 1.1647005769594, 1.21967521015093, -0.0549746331915333, 51.766363636364, 52.5551827956988, 51.8129806848112, 51.8129806848112
4/10/2017, 52, 52.24, 51.67, 52.08, 1910548, 1.49194195390264, 1.50802477217567, 1.81563822801216, 0, 0, 1.14365658086066, 1.20447148429288, -0.060814903432213, 51.9187272727276, 52.7043655913978, 51.9716496163683, 51.9716496163683
4/11/2017, 52.08, 52.16, 51.29, 51.9, 4453987, 1.50607553200939, 1.48533977128481, 1.77457612436756, 0, 0, 1.09977702174216, 1.18353259178273, -0.0837555700405772, 51.9292727272731, 52.7444301075268, 52.1111511387163, 52.1111511387163
4/12/2017, 51.84, 51.87, 51.05, 51.39, 4475031, 1.52767180591016, 1.52958105487644, 1.71673228446156, 0, 0, 1.01218161762661, 1.14926239695151, -0.137080779324899, 51.8367272727276, 52.7622365591397, 52.2142374245473, 52.2142374245473
4/13/2017, 51.52, 51.89, 51.09, 51.19, 2296805, 1.53509867943811, 1.79600782117671, 1.6365797609013, 0, 0, 0.916063490554578, 1.10262261567212, -0.186559125117545, 51.6634545454549, 52.6874838709677, 52.3002816901408, 52.3002816901408
4/17/2017, 51.43, 51.8, 51.33, 51.79, 2073623, 1.50034014926462, 1.80573188926833, 1.59558198748078, 0, 0, 0.87818104352602, 1.0577343012429, -0.179553257716882, 51.6294545454549, 52.7456989247311, 52.4138698630137, 52.4138698630137
4/18/2017, 51.65, 51.94, 51.42, 51.55, 2237366, 1.48239545128796, 1.73491927180215, 1.43245504663128, 0, 0, 0.819348003335257, 1.01005704166137, -0.190709038326116, 51.5727272727276, 52.7734193548386, 52.5082450944095, 52.5082450944095
4/19/2017, 51.36, 51.39, 50.71, 50.93, 3343645, 1.50788555346946, 1.53272596936082, 1.46182396484514, 0, 0, 0.714457752435528, 0.950937183816204, -0.236479431380676, 51.3127272727276, 52.6936989247311, 52.5644324324324, 52.5644324324324
4/20/2017, 51.21, 51.53, 50.95, 51.47, 1741567, 1.47574860455196, 1.33868692392534, 1.68585377474274, 0, 0, 0.667213735321099, 0.894192494117183, -0.226978758796085, 51.2796363636367, 52.6282795698924, 52.6453403508772, 52.6453403508772
4/21/2017, 51.31, 51.45, 51.05, 51.37, 1861359, 1.44557020911962, 1.03166090807848, 1.54972432583352, 0, 0, 0.614618408689317, 0.83827767703161, -0.223659268342293, 51.1829090909094, 52.4835913978494, 52.7165105946685, 52.7165105946685
4/24/2017, 52.35, 52.58, 52.19, 52.23, 2316075, 1.46651339384169, 1.05893273718012, 1.62089117797582, 0, 0, 0.635011034163689, 0.797624348458026, -0.162613314294337, 51.5087272727276, 52.4546881720429, 52.8274225774226, 52.8274225774226
4/25/2017, 51.73, 52.13, 51.71, 52.04, 2625412, 1.44823587302716, 0.803004947092753, 1.3992783646957, 0, 0, 0.628594874245728, 0.763818453615566, -0.135223579369838, 51.7621818181822, 52.3654838709676, 52.9230022719896, 52.9230022719896
4/26/2017, 51.76, 51.95, 50.42, 50.99, 8222366, 1.56301010179872, 0.392897255628381, 1.14419859770714, 0, 0, 0.532643810216044, 0.717583524935662, -0.184939714719618, 51.6190909090912, 52.0981720430107, 52.9613860759494, 52.9613860759494
4/27/2017, 51.61, 51.64, 51.21, 51.44, 3252436, 1.5350503661777, 0.548126087451955, 1.28068712975432, 0, 0, 0.487295896116244, 0.671525999171778, -0.184230103055534, 51.5790909090912, 51.9656989247311, 53.0193611111111, 53.0193611111111
4/28/2017, 51.53, 51.85, 51.2, 51.76, 1852392, 1.5120718951772, 0.45724304996483, 1.40029557384566, 0, 0, 0.471740739529608, 0.631568947243344, -0.159828207713737, 51.6069090909094, 51.8945376344085, 53.0895633845228, 53.0895633845228
5/1/2017, 51.95, 52.32, 51.64, 52.07, 858263, 1.49321296772908, 0.250312134021284, 1.53277935610787, 0, 0, 0.478907032921505, 0.601036564378976, -0.122129531457471, 51.8307272727276, 51.8963655913977, 53.1708610049956, 53.1708610049956
5/2/2017, 51.97, 52.38, 51.94, 52.35, 2490270, 1.45298986185618, 0.400145240585381, 1.66904906115686, 0, 0, 0.501400202582715, 0.581109292019724, -0.0797090894370089, 52.0880000000003, 51.9434838709676, 53.261247848537, 53.261247848537
5/3/2017, 52.14, 52.19, 51.51, 51.59, 2020814, 1.48208603033073, 0.163821882991693, 1.17325934250226, 0, 0, 0.45268231325651, 0.555423896267081, -0.102741583010572, 51.9150909090911, 51.8636559139784, 53.3115994397759, 53.3115994397759
5/4/2017, 51.38, 51.69, 50.61, 50.82, 4369516, 1.53557216429603, -0.386371818696868, 0.999005957444477, 0, 0, 0.347929752522234, 0.513925067518112, -0.165995314995878, 51.548181818182, 51.6814408602149, 53.3235485636115, 53.3235485636115
5/5/2017, 50.86, 51.57, 50.8, 51.53, 1849220, 1.51340750087421, -0.0154628562377786, 1.07656395636085, 0, 0, 0.318531823143275, 0.474846418643145, -0.15631459549987, 51.4420000000002, 51.6213763440859, 53.3667361668003, 53.3667361668003
5/8/2017, 51.47, 51.58, 50.83, 51.01, 2162426, 1.52590852958333, -0.0395546467850982, 1.12281487718455, 0, 0, 0.250387783622514, 0.429954691639019, -0.179566908016504, 51.3194545454547, 51.5443010752687, 53.3839916405433, 53.3839916405433
5/9/2017, 51.11, 51.73, 51.06, 51.44, 2327668, 1.50747986759999, -0.0551563017237325, 1.17263366360732, 0, 0, 0.228447151136187, 0.389653183538452, -0.161206032402265, 51.3740000000001, 51.5213333333332, 53.4190858018386, 53.4190858018386
5/10/2017, 51.92, 52.32, 51.85, 52.03, 1904780, 1.50043294579812, 0.163762129526891, 1.54896638408174, 0, 0, 0.255719337636812, 0.362866414358124, -0.107147076721312, 51.455090909091, 51.5576129032257, 53.4782097378277, 53.4782097378277
5/11/2017, 52.09, 52.12, 51.78, 52.02, 1279618, 1.45836504923841, 0.159918195488874, 1.27994229913313, 0, 0, 0.273374534038872, 0.344968038294274, -0.0715935042554016, 51.5660000000001, 51.6236559139784, 53.5339584859585, 53.5339584859585
5/12/2017, 52.15, 52.3, 51.86, 52.08, 1257033, 1.42609336344687, 0.261195771757855, 1.49090502743931, 0, 0, 0.288877898353434, 0.333750010306106, -0.0448721119526721, 51.7300000000001, 51.6845591397848, 53.6135286935287, 53.5895293836598
5/15/2017, 52.56, 52.87, 52.51, 52.72, 2153032, 1.41326622249426, 0.27306248266384, 1.35442942955871, 0, 0, 0.348786484088727, 0.33675730506263, 0.0120291790260969, 52.1596363636364, 51.7930967741934, 53.7031062271062, 53.669747545582
5/16/2017, 52.69, 52.95, 52.54, 52.54, 1250325, 1.38622050794447, 0.20038480268085, 1.20031132910599, 0, 0, 0.377389661128184, 0.344883776275741, 0.0325058848524433, 52.5476363636364, 51.900129032258, 53.7851013431014, 53.7387348432853
5/17/2017, 51.99, 52.09, 51.52, 51.53, 2772692, 1.44169268800762, -0.106440012819414, 0.930314218924542, 0, 0, 0.314929020220319, 0.338892825064656, -0.0239638048443375, 52.4243636363637, 51.8752043010752, 53.8093846153846, 53.7622642777155
5/18/2017, 50.5, 51.22, 50.14, 50.73, 5491757, 1.52820624881492, -0.207635577737411, 0.865716790127342, 0, 0, 0.198586022127614, 0.310831464477248, -0.112245442349634, 51.8740000000001, 51.7496774193548, 53.7752039072039, 53.7511710526316
5/19/2017, 51.51, 52.24, 51.44, 52.01, 3883523, 1.56123068356589, 0.29386924194297, 1.33701145563552, 0, 0, 0.207279274082005, 0.290121026398199, -0.0828417523161946, 51.9127272727273, 51.7792903225806, 53.7823833943834, 53.7923926116838
5/22/2017, 52.4, 52.75, 51.71, 51.85, 1936624, 1.58803524512341, 0.0491762321353401, 1.16049965413912, 0, 0, 0.198964536734799, 0.271889728465519, -0.0729251917307204, 51.766, 51.8251182795699, 53.7723174603175, 53.8250683778666
5/23/2017, 52.01, 52.24, 51.76, 52.1, 1256617, 1.5474596177863, 0.208720363741338, 1.24800018205172, 0, 0, 0.210125759192287, 0.259536934610873, -0.0494111754185856, 51.7458181818182, 51.904752688172, 53.7702832722833, 53.8660729746444
5/24/2017, 52.42, 53.14, 52.34, 53.1, 2221223, 1.54032982640928, 0.719823083280482, 1.52885956259782, 0, 0, 0.296247790927453, 0.266879105874189, 0.0293686850532637, 52.1530909090909, 52.0991397849462, 53.8183614163614, 53.9448868686868
5/25/2017, 53.43, 53.58, 52.6, 52.64, 2253993, 1.56918575405046, 0.400887031578474, 1.08048795550783, 0, 0, 0.323651117319066, 0.278233508163164, 0.045417609155902, 52.3410909090909, 52.1934193548387, 53.834231990232, 54.002300990099
5/26/2017, 52.88, 53.26, 52.71, 53.06, 1314689, 1.53735094588307, 0.561594491798258, 1.03585977704885, 1.6734546779255, 0, 0.374936901616557, 0.297574186853843, 0.0773627147627143, 52.6523636363636, 52.3195913978495, 53.8503296703297, 54.0735993011065
5/30/2017, 52.58, 52.68, 51.94, 52.05, 2567842, 1.59641208701494, -0.0246158609452811, 0.558274519450135, 1.60361468348699, 0, 0.330275485876804, 0.304114446658435, 0.0261610392183688, 52.6892727272727, 52.3455483870968, 53.8090427350427, 54.1029183323814
5/31/2017, 52.09, 52.09, 51.51, 51.62, 3323076, 1.58540462364726, -0.098465234194195, 0.354767313298046, 1.47018339475917, 0, 0.257218530686089, 0.294735263463966, -0.0375167327778771, 52.5781818181817, 52.2992688172043, 53.7614065934066, 54.1142737117251
6/1/2017, 51.73, 52.32, 51.69, 52.12, 2957690, 1.55883839867686, 0.39700275859275, 0.553804041950869, 1.60839339203184, 0, 0.236934950058767, 0.283175200782926, -0.0462402507241588, 52.4879999999999, 52.2746451612903, 53.755492063492, 54.1436978021977
6/2/2017, 52.25, 52.47, 51.88, 52, 2710642, 1.54104470138627, 0.212385731672187, 0.504107157598252, 1.75990939874852, 0, 0.208770492871437, 0.268294259200628, -0.0595237663291911, 52.1641818181817, 52.2631182795699, 53.7522588522588, 54.1671464510332
6/5/2017, 52.52, 53.52, 52.52, 53.45, 4395492, 1.56646601026158, 0.527879642224645, 0.694426930965274, 2.02832226526981, 0, 0.299994687464029, 0.274634344853309, 0.0253603426107202, 52.5279999999999, 52.4254838709677, 53.8291062271062, 54.2432904249691
6/6/2017, 53.38, 53.73, 53.2, 53.24, 1785465, 1.54378714943759, 0.374885309845046, 0.45063273712736, 2.02091452460307, 0, 0.351295755165197, 0.289966626915686, 0.0613291282495104, 52.7087272727271, 52.6051182795699, 53.8675873015873, 54.308748701973
6/7/2017, 53.44, 53.6, 53, 53.41, 1578182, 1.51809897854811, 0.341825001491209, 0.50646731214312, 2.0083430570821, 0, 0.401046782507521, 0.312182658034053, 0.0888641244734679, 52.9223636363635, 52.7871397849463, 53.9223638583638, 54.3778440366972
6/8/2017, 53.76, 53.76, 53.3, 53.34, 1362076, 1.48720628275294, 0.561936603544221, 0.550619278616904, 1.88663936320317, 0, 0.42987112834544, 0.33572035209633, 0.0941507762491091, 53.2403636363635, 52.8814408602151, 53.9675482295482, 54.441743119266
6/9/2017, 53.22, 53.62, 53.15, 53.36, 2214851, 1.45635689591342, 0.834680849602362, 0.423298264850998, 1.93085551068408, 0, 0.449150930601988, 0.358406467797462, 0.090744462804526, 53.4601818181816, 52.9931182795699, 54.0015555555556, 54.5038869778869
6/12/2017, 53.34, 53.59, 53.06, 53.59, 1788022, 1.42705063944099, 0.68882558889088, 0.521877412293785, 2.07124111254636, 0, 0.477485238004107, 0.382222221838791, 0.095263016165316, 53.8041818181816, 53.1429247311828, 54.0415750915751, 54.5718146718146
